Ano de Lançamento, 1983.. O Ano Azul 
2011, Contracorrente 
2011, Copacabana 
2011, Cópia Fiel 
2011, Corações Perdidos 
2011, Corpos Celestes 
2011, Cortina De Fumaça 
2011, Corumbiara 
2011, Cowboys E Aliens 
2011, Crítico 
2011, Dawson Isla 10 
2011, De Pernas Pro Ar 
2011, Deixe-Me Entrar 
2011, Desaparecidos 
2011, Desassossego 
2011, Desconhecido 
2011, Desenrola 
2011, Deu A Louca Na Chapeuzinho 2 
2011, Diário De Um Banana 2: Rodrick É O Cara 
2011, Diário De Uma Busca 
2011, Dieta Mediterrânea 
2011, Doce Vingança 
2011, Domingos 
2011, Duas Mulheres 
2011, Dylan Dog E As Criaturas Da Noite 
2011, E Aí Hendrix? 
2011, Elvis E Madona 
2011, Em Casa Para O Natal 
2011, Em Um Mundo Melhor 
2011, Embargo 
2011, Enrolados 
2011, Entrando Numa Fria Maior Ainda Com A Família 
2011, Entre Segredos E Mentiras 
2011, Esposa De Mentirinha 
2011, Esses Amores 
2011, Estamos Juntos 
2011, Estrada Para Ythaca 
2011, Estrada Real Da Cachaça 
2011, Estranhos Normais 
2011, Eu Eu Eu José Lewgoy 
2011, Eu Queria Ter A Sua Vida 
2011, Eu Sou O Número Quatro 
2011, Faça-Me Feliz 
2011, Família Braz – Dois Tempos 
2011, Família Vende Tudo 
2011, Feliz Que Minha Mãe Está Viva 
2011, Filhos De João, Admirável Mundo Novo Baiano 
2011, Foo Fighters Back And Forth + Show Foo Fighters 3D 
2011, Fora Da Lei 
2011, Forças Especiais 
2011, Fúria Sobre Rodas 
2011, Gainsbourg – O Homem Que Amava As Mulheres 
2011, Gato De Botas 
2011, Gêmeos - Mórbida Semelhança 
2011, Gigantes De Aço 
2011, Glee 3D O Filme 
2011, Gnomeu E Julieta 
2011, Gosto De Sangue 
2011, Guerra Dos Sexos 
2011, Happy Feet 2 
2011, Harry Potter E As Relíquias Da Morte – Parte 2 
2011, Hiroshima 
2011, Homens E Deuses 
2011, Hop 
2011, Hubble 3D 
2011, Ilusões Óticas 
2011, Imortais 
2011, Incêndios 
2011, Incontrolável 
2011, Inquietos 
2011, Invasão Do Mundo: Batalha De Los Angeles 
2011, Inverno Da Alma 
2011, Inversão 
2011, Isto Não É Um Filme 
2011, Jardim Das Folhas Sagradas 
2011, Jogo De Poder 
2011, Justin Bieber: Never Say Never 
2011, Kung Fu Panda 2 
2011, Lanterna Verde 
2011, Larry Crowne - O Amor Está De Volta 
2011, Late Bloomers – O Amor Não Tem Fim 
2011, Leite E Ferro 
2011, Lixo Extraordinário 
2011, Lola (2011) 
2011, Lope 
2011, Loup - Uma Amizade Para Sempre 
2011, Malu De Bicicleta 
2011, Mamonas Para Sempre 
2011, Mamute 
2011, Manda-Chuva O Filme 
2011, Marcha Da Vida 
2011, Margin Call – O Dia Antes Do Fim 
2011, Medianeras: Buenos Aires Da Era Do Amor Virtual 
2011, Meia-Noite Em Paris 
2011, Melancolia 
2011, Meu País 
2011, Minhas Tardes Com Margueritte 
2011, Missão Madrinha De Casamento 
2011, Missão: Impossível - Protocolo Fantasma 
2011, Morro Do Céu 
2011, Mulatas! Um Tufão Nos Quadris 
2011, Namorados Para Sempre 
2011, Nana Caymmi Em Rio Sonata 
2011, Não Me Abandone Jamais 
2011, Não Se Pode Viver Sem Amor 
2011, Não Se Preocupe, Nada Vai Dar Certo 
2011, Não Sei Como Ela Consegue 
2011, Não Tenha Medo Do Escuro 
2011, Natimorto 
2011, No Olho Da Rua 
2011, Noite De Ano Novo 
